Source,Target,Weight
13 Killoki,Reckol,2
13 Killoki,Şehinşah,1
AKDO,Cakal,1
AKDO,Lvbel C5,8
Aksan,Burry Soprano,1
Aksan,UZI,1
Aleyna Kalaycıoğlu,Canbay & Wolker,1
Ali471,Batuflex,1
Allame,Aspova,1
Allame,Harim,1
Allame,Hidra,1
Allame,Joker,5
Allame,Vesca,1
Allame,Zizzy,1
Allame,aspi,1
Allame,Şehinşah,2
Anıl Piyancı,Artz,2
Anıl Piyancı,Ben Fero,1
Anıl Piyancı,Cash Flow,1
Anıl Piyancı,Ceg,1
Anıl Piyancı,Ezhel,3
Anıl Piyancı,Grogi,1
Anıl Piyancı,Killa Hakan,1
Anıl Piyancı,Massaka,4
Anıl Piyancı,Monoman,1
Anıl Piyancı,Perdenin Ardındakiler,1
Anıl Piyancı,Zeynep Bastık,2
Arem Ozguc,Cakal,1
Arman Aydin,Cakal,1
Aspova,Şehinşah,1
Ati242,BLOK3,1
Ati242,Batuflex,1
Ati242,Blok3,1
Ati242,MERO,1
Ati242,Patron,2
Ati242,Şehinşah,2
Atlas,Burry Soprano,1
Avie,Batuflex,1
Ayaz Kaplı,Killa Hakan,3
Azer Bülbül,Heijan,1
Azer Bülbül,Muti,1
BEGE,Reckol,1
BEGE,Reynmen,1
Baskın,Burry Soprano,1
Batuflex,Chiko,1
Batuflex,DJEZJA,1
Batuflex,ERAY067,4
Batuflex,Era7capone,2
Batuflex,Lvbel C5,1
Batuflex,Mansur,4
Batuflex,Motive,1
Batuflex,Murda,1
Batuflex,Narco,1
Batuflex,Organize,2
Bedo,Patron,2
Ben Fero,Cash Flow,1
Ben Fero,Ceza,2
Ben Fero,Ezhel,1
Ben Fero,Khontkar,2
Ben Fero,Killa Hakan,2
Berk Erdemanar,Reckol,1
Boykot,Gazapizm,1
Burry Soprano,Ege Balkiz,2
Burry Soprano,Emrah Turken,1
Burry Soprano,GNG,1
Burry Soprano,Misha,1
Burry Soprano,Mog,1
Burry Soprano,Motive,2
Burry Soprano,RUBY,1
Burry Soprano,Sufle,1
Burry Soprano,Tepki,2
Burry Soprano,UZI,1
Burry Soprano,Vio,1
Cakal,Fatma Turgut,1
Cakal,Lvbel C5,1
Cakal,Mavi,1
Cakal,Serdar Ortaç,1
Canbay,Massaka,2
Canbay & Wolker,Heijan,2
Canbay & Wolker,Muti,2
Canbay & Wolker,Sertan,1
Cash Flow,Gazapizm,1
Cashflow,Massaka,1
Cem Adrian,Gazapizm,1
Ceza,Dr. Fuchs,1
Ceza,Ezhel,1
Ceza,Hayki,1
Ceza,Killa Hakan,6
Ceza,Massaka,3
Ceza,Sezen Aksu,1
Contra,Emir Can İğrek,1
Contra,Killa Hakan,1
Contra,Massaka,2
DEHA INC.,Reckol,3
DEHA INC.,Şehinşah,1
DJ Artz,Şehinşah,1
DJ. Sivo,Hayki,1
Da Poet,Hayki,1
Da Poet,UZI,1
Defkhan,Massaka,2
Demet Akalın,Lvbel C5,1
Diablo 63,Massaka,2
Doğukan Sarıtaş,Reynmen,1
Dr. Fuchs,Massaka,2
Ebru Gündeş,Norm Ender,1
Eko Fresh,Killa Hakan,3
Emel,Ezhel,1
Era7capone,KERO,1
Era7capone,Murat Boz,1
Era7capone,Murda,1
Era7capone,NASTEISHA,1
Era7capone,Narco,1
Era7capone,Ozan Bayraşa,1
Era7capone,Poizi,2
Era7capone,SNOW,4
Era7capone,Simge,1
Eypio,Hayki,1
Eypio,Massaka,1
Ezhel,Killa Hakan,2
Ezhel,Murda,3
Faruk Sabanci,Norm Ender,1
FerzanBeats,Şehinşah,1
GNG,UZI,1
GRiNGO,Killa Hakan,1
Gaye Su Akyol,Gazapizm,1
Gazapizm,Melike Şahin,1
Gazapizm,ZEZE,1
Gekko G,Massaka,1
Grogi,Hayki,1
Grogi,Khontkar,1
Hadise,Murda,2
Harim,Joker,1
Hayki,Hayko Cepkin,1
Hayki,Kamufle,1
Hayki,Karaçalı,1
Hayki,Killa Hakan,1
Hayki,Massaka,1
Hayki,Onur Uğur,1
Hayki,Patron,1
Hayki,Saian SS,1
Hayki,Selim Muran,1
Hayki,Sürveyan,1
Heijan,Muti,15
Heijan,UZI,1
Hidra,Massaka,1
Hidra,Şehinşah,2
Jeff Redd,Reckol,1
Joe Young,Massaka,1
Joker,Serhat Özen,1
Joker,Vesca,1
Joker,Zizzy,1
Joker,aspi,1
Kamuran Akkor,Sagopa Kajmer,1
Keskin,Khontkar,1
Khontkar,Killa Hakan,1
Khontkar,Kozmos,1
Khontkar,Lil Zey,2
Khontkar,Massaka,1
Khontkar,Myndless Grimes,1
Killa Hakan,Massaka,3
Killa Hakan,Motive,1
Killa Hakan,Summer Cem,1
Killa Hakan,UZI,1
Kuty,Reckol,1
MERO,Murda,2
Massaka,Monstar361,1
Massaka,Rota,1
Massaka,Sansar Salvo,2
Massaka,Selo,1
Massaka,Sirdav,1
Massaka,Summer Cem,1
Massaka,Tankurt Manas,1
Massaka,Tekmill,2
Massaka,Tepki,1
Massaka,Velet,1
Massaka,Wolker,2
Massaka,Yener Çevik,3
Massaka,Şanışer,1
Motive,UZI,2
Murda,Rockywhereyoubeen,1
Murda,SFB,1
Patron,SLOWFLOWS',2
Patron,Sagopa Kajmer,1
Reckol,Yung Ouzo,1
Reckol,cakal,4
Reckol,Şehinşah,2
Reynmen,Sefo,1
Reynmen,Semicenk,1
Reynmen,Wegh,1
